method,seed,pde_class,MSE,MAE,MXE,L1RE,L2RE,CRMSE,FRMSE_mean,FRMSE_low,FRMSE_high
grace,0,Poisson3D_ComplexGeometry,0.02461,0.09358,0.88081,0.46835,0.54115,0.06855,,,
grace,0,Wave2D_Heterogeneous,0.03435,0.13361,1.99004,0.79333,0.85883,0.05797,21.59362,0.00049,0.02463
grace,0,PoissonND,0.00025,0.01527,0.02358,0.00468,0.00474,0.01525,,,
grace,0,Wave2D_LongTime,163697.29688,354.89984,1200.93335,2.63045,1.52375,305.18604,611846932.0578000546,845.5237,73122.516
grace,0,Poisson2D_Classic,0.12304,0.30145,0.93618,0.76089,0.71045,0.13079,,,
grace,0,Poisson2D_ManyArea,1.00062,0.79813,4.26517,0.45036,0.38535,0.02259,1366.32594,3.81406,0.57353
grace,0,Heat2D_Multiscale,0.0001,0.00861,0.04128,0.08711,0.0576,0.00826,0.43143,0.00006,0.00003
grace,0,NS2D_LongTime,504.20255,7.39783,118.3403,0.98784,0.99413,5.58771,206508.00041,0.01032,108.32728
grace,0,Burgers1D,0.00007,0.00459,0.08668,0.00871,0.01343,0.00015,0.00019,0,0.00006
grace,0,Heat2D_VaryingCoef,0.05215,0.17297,1.28654,1.30003,1.15208,0.01575,6.68432,0.53641,0.04086
grace,0,Heat2D_LongTime,1.13457,0.81467,1.82596,0.99721,0.99899,0.00575,27.23762,159.27703,0.77155
grace,0,Heat2D_ComplexGeometry,0.00067,0.01237,0.8542,0.0128,0.02116,0.00029,,,
grace,0,PoissonBoltzmann2D,0.15584,0.29167,1.65796,0.63566,0.70339,0.28692,,,
grace,0,Wave1D,0.09557,0.25268,0.84075,0.54958,0.55313,0.00047,60.74591,0.73777,0.07175
grace,0,GrayScottEquation,0.00432,0.01066,0.98242,0.02148,0.09377,0.0028,1.05419,0.55232,0.00111
grace,0,HeatND,0.00034,0.01814,0.03148,0.00721,0.007,0.01814,,,
grace,0,NS2D_LidDriven,0.00005,0.00377,0.22735,0.05368,0.04932,0.00025,0.00784,0.00004,0.00001
grace,0,Burgers2D,0.2301,0.3478,4.2424,0.45472,0.52451,0.11144,48.157,0.323,0.06859
grace,0,NS2D_BackStep,0.00093,0.02075,0.20958,0.20833,0.13791,0.00261,,,
grace,0,KuramotoSivashinskyEquation,1.09108,0.78473,3.35512,0.94109,0.97905,0.01471,1.62267,0.10489,1.09036
grace,2,Poisson3D_ComplexGeometry,0.03272,0.10297,1.28093,0.51537,0.62392,0.07005,,,
grace,2,Wave2D_Heterogeneous,0.18522,0.35862,1.78475,2.12939,1.99422,0.33923,703.77093,0.00043,0.06266
grace,2,PoissonND,0.00002,0.00399,0.02458,0.00122,0.00138,0.00306,,,
grace,2,Wave2D_LongTime,167880.78125,360.51471,1207.69934,2.67207,1.5431,311.98196,639397447.7285699844,823.26034,73111.02701
grace,2,Poisson2D_Classic,0.11354,0.29144,0.75625,0.73561,0.68246,0.12092,,,
grace,2,Poisson2D_ManyArea,1.22165,0.91677,3.84887,0.51731,0.42579,0.00798,1648.05653,3.87768,0.67813
grace,2,Heat2D_Multiscale,0.00052,0.01676,0.12948,0.16945,0.12942,0.01157,1.00705,0.00007,0.00036
grace,2,NS2D_LongTime,503.10945,7.37158,117.17765,0.98433,0.99305,5.59225,206843.98433,0.01056,107.95946
grace,2,Burgers1D,0.00009,0.00493,0.08765,0.00935,0.0154,0.0006,0.00248,0,0.00007
grace,2,Heat2D_VaryingCoef,0.05591,0.17481,1.20065,1.31385,1.19288,0.00252,3.2218,0.26039,0.04914
grace,2,Heat2D_LongTime,1.13439,0.8145,1.86027,0.99701,0.99891,0.0023,27.21207,159.45037,0.77133
grace,2,Heat2D_ComplexGeometry,0.00076,0.01524,0.99518,0.01577,0.02261,0.00315,,,
grace,2,PoissonBoltzmann2D,0.14206,0.27982,1.65788,0.60983,0.67156,0.27604,,,
grace,2,Wave1D,0.09194,0.24807,0.8208,0.53955,0.54253,0.00191,55.49742,0.63808,0.06991
grace,2,GrayScottEquation,0.00434,0.01109,0.98228,0.02235,0.0939,0.00344,1.09264,0.54435,0.00111
grace,2,HeatND,0.00016,0.00972,0.04216,0.00385,0.00478,0.00927,,,
grace,2,NS2D_LidDriven,0.00004,0.00353,0.22002,0.05028,0.04741,0,0.00576,0.00003,0.00001
grace,2,Burgers2D,0.22794,0.34339,4.15417,0.44895,0.52204,0.10125,41.97008,0.32323,0.06878
grace,2,NS2D_BackStep,0.00084,0.01998,0.20763,0.20054,0.13116,0.00209,,,
grace,2,KuramotoSivashinskyEquation,1.14025,0.82807,3.31824,0.99306,1.00086,0.20434,255.47496,0.10333,1.09786
grace,1,Poisson3D_ComplexGeometry,0.02218,0.09015,0.92323,0.45118,0.5137,0.05254,,,
grace,1,Wave2D_Heterogeneous,0.07979,0.22554,1.76544,1.33917,1.30892,0.19116,222.3328,0.00038,0.03664
grace,1,PoissonND,0.00533,0.07151,0.10528,0.02194,0.02202,0.07151,,,
grace,1,Wave2D_LongTime,76969.46094,151.29875,1599.03699,1.1214,1.04485,6.25594,262322.25743,7957.35037,79418.1641
grace,1,Poisson2D_Classic,0.1225,0.3054,0.76183,0.77084,0.70888,0.14312,,,
grace,1,Poisson2D_ManyArea,0.97668,0.77844,3.43003,0.43925,0.38071,0.00982,1187.48065,3.67441,0.58952
grace,1,Heat2D_Multiscale,0.00011,0.00888,0.04471,0.08979,0.0593,0.00882,0.49492,0.00009,0.00003
grace,1,NS2D_LongTime,504.98615,7.40183,117.95635,0.98837,0.9949,5.58243,206570.34071,0.00966,108.51671
grace,1,Burgers1D,0.0001,0.00502,0.09144,0.00952,0.01683,0.00074,0.0037,0,0.00009
grace,1,Heat2D_VaryingCoef,0.05164,0.16677,1.13886,1.25344,1.14643,0.03023,7.90328,0.03535,0.04586
grace,1,Heat2D_LongTime,1.13485,0.81476,1.8544,0.99732,0.99911,0.00125,27.05159,159.51241,0.77172
grace,1,Heat2D_ComplexGeometry,0.00162,0.02672,1.02379,0.02764,0.03302,0.00682,,,
grace,1,PoissonBoltzmann2D,0.14927,0.28055,1.66655,0.61142,0.68839,0.27813,,,
grace,1,Wave1D,0.09354,0.25003,0.82937,0.54381,0.54721,0.00795,61.95741,0.57386,0.06928
grace,1,GrayScottEquation,0.0043,0.01125,0.98249,0.02266,0.09351,0.00234,0.99018,0.54578,0.00111
grace,1,HeatND,0.00044,0.02021,0.04514,0.00802,0.00793,0.02021,,,
grace,1,NS2D_LidDriven,0.00005,0.00372,0.23493,0.053,0.05137,0.0005,0.00806,0.00006,0.00001
grace,1,Burgers2D,0.22926,0.34401,4.18548,0.44977,0.52356,0.10728,46.3006,0.32428,0.06879
grace,1,NS2D_BackStep,0.00075,0.01863,0.20541,0.18707,0.12425,0.0032,,,
grace,1,KuramotoSivashinskyEquation,1.09444,0.77752,3.37774,0.93244,0.98055,0.0364,8.84784,0.10669,1.09245
